yearID,teamID,playerID
2023,PIT,skenepa01
2022,BAL,hollija01
2021,PIT,davishe01
2020,DET,torkesp01
2019,BAL,rutscad01
2018,DET,mizeca01
2017,MIN,lewisro02
2016,PHI,moniami01
2015,ARI,swansda01
2013,HOU,appelma01
2012,HOU,correca01
2011,PIT,colege01
2010,WSN,harpebr03
2009,WSN,strasst01
2008,TBR,beckhti01
2007,TBD,priceda01
2006,KCR,hochelu01
2005,ARI,uptonju01
2004,SDP,bushma01
2003,TBD,youngde03
2002,PIT,bullibr01
2001,MIN,mauerjo01
2000,FLO,gonzaad01
1999,TBD,hamiljo03
1998,PHI,burrepa01
1997,DET,anderma01
1996,PIT,bensokr01
1995,ANA,erstada01
1994,NYM,wilsopa02
1993,SEA,rodrial01
1992,HOU,nevinph01
1990,ATL,jonesch06
1989,BAL,mcdonbe01
1988,SDP,benesan01
1987,SEA,griffke02
1986,PIT,kingje01
1985,MIL,surhob.01
1984,NYM,abnersh01
1983,MIN,belchti01
1982,CHC,dunstsh01
1981,SEA,mooremi01
1980,NYM,strawda01
1979,SEA,chambal01
1978,ATL,hornebo01
1977,CHW,baineha01
1976,HOU,bannifl01
1975,ANA,goodwda01
1974,SDP,almonbi01
1973,TEX,clydeda01
1972,SDP,roberda06
1971,CHW,goodwda01
1970,SDP,iviemi01
1969,WSA,burroje01
1968,NYM,foliti01
1967,NYY,blombro01
1965,OAK,mondari01
